time,open,high,low,close
2021-02-23T11:30:00-03:00,230.325,234.83,228.73,233.27
2021-02-24T11:30:00-03:00,230.01,235.2,229,234.55
2021-02-25T11:30:00-03:00,232.08,234.5852,227.88,228.99
2021-02-26T11:30:00-03:00,231.525,235.37,229.54,232.38
2021-03-01T11:30:00-03:00,235.9,237.47,233.15,236.94
2021-03-02T11:30:00-03:00,237.01,237.3,233.45,233.87
2021-03-03T11:30:00-03:00,232.155,233.5799,227.26,227.56
2021-03-04T11:30:00-03:00,226.735,232.49,224.26,226.73
2021-03-05T11:30:00-03:00,229.5165,233.27,226.46,231.6
2021-03-08T11:30:00-03:00,231.37,233.365,227.13,227.39
2021-03-09T11:30:00-03:00,232.88,235.3839,231.67,233.78
2021-03-10T11:30:00-03:00,237,237,232.04,232.42
2021-03-11T11:30:00-03:00,234.96,239.17,234.31,237.13
2021-03-12T11:30:00-03:00,234.01,235.82,233.23,235.75
2021-03-15T10:30:00-03:00,234.96,235.185,231.81,234.81
2021-03-16T10:30:00-03:00,236.28,240.055,235.94,237.71
2021-03-17T10:30:00-03:00,236.15,238.55,233.23,237.04
2021-03-18T10:30:00-03:00,232.56,234.19,230.33,230.72
2021-03-19T10:30:00-03:00,231.02,232.474,229.3496,230.35
2021-03-22T10:30:00-03:00,230.27,236.9,230.14,235.99
2021-03-23T10:30:00-03:00,237.485,241.05,237.07,237.58
2021-03-24T10:30:00-03:00,237.845,238,235.32,235.46
2021-03-25T10:30:00-03:00,235.3,236.94,231.57,232.34
2021-03-26T10:30:00-03:00,231.55,236.71,231.55,236.48
2021-03-29T10:30:00-03:00,236.59,236.8,231.88,235.24
2021-03-30T10:30:00-03:00,233.525,233.85,231.1,231.85
2021-03-31T10:30:00-03:00,232.91,239.1,232.39,235.77
2021-04-01T10:30:00-03:00,238.47,242.84,238.0501,242.35
2021-04-05T10:30:00-03:00,242.76,249.96,242.7,249.07
2021-04-06T10:30:00-03:00,247.61,249.4,246.88,247.86
2021-04-07T10:30:00-03:00,247.81,250.93,247.19,249.9
2021-04-08T10:30:00-03:00,252.77,254.139,252,253.25
2021-04-09T10:30:00-03:00,252.87,255.99,252.44,255.85
2021-04-12T10:30:00-03:00,254.71,257.67,254.62,255.91
2021-04-13T10:30:00-03:00,257.2573,259.19,256.83,258.49
2021-04-14T10:30:00-03:00,257.475,258.83,255.16,255.59
2021-04-15T10:30:00-03:00,257.931,259.93,257.73,259.5
2021-04-16T10:30:00-03:00,259.47,261,257.6014,260.74
2021-04-19T10:30:00-03:00,260.19,261.48,257.821,258.74
2021-04-20T10:30:00-03:00,257.82,260.2,256.84,258.26
2021-04-21T10:30:00-03:00,258.94,260.68,257.25,260.58
2021-04-22T10:30:00-03:00,260.21,261.78,255.64,257.17
2021-04-23T10:30:00-03:00,257.88,261.51,257.27,261.15
2021-04-26T10:30:00-03:00,261.66,262.435,260.17,261.55
2021-04-27T10:30:00-03:00,261.585,263.19,260.12,261.97
2021-04-28T10:30:00-03:00,256.078,256.5399,252.95,254.56
2021-04-29T10:30:00-03:00,255.46,256.1,249,252.51
2021-04-30T10:30:00-03:00,249.74,253.08,249.6,252.18
2021-05-03T10:30:00-03:00,253.4,254.35,251.12,251.86
2021-05-04T10:30:00-03:00,250.97,251.21,245.76,247.79
2021-05-05T10:30:00-03:00,249.06,249.5,245.82,246.47
2021-05-06T10:30:00-03:00,246.45,249.86,244.69,249.73
2021-05-07T10:30:00-03:00,252.15,254.3,251.17,252.46
2021-05-10T10:30:00-03:00,250.87,251.73,247.12,247.18
2021-05-11T10:30:00-03:00,244.55,246.6,242.57,246.23
2021-05-12T10:30:00-03:00,242.165,244.38,238.07,239
2021-05-13T10:30:00-03:00,241.8,245.6,241.42,243.03
2021-05-14T10:30:00-03:00,245.575,249.18,245.49,248.15
2021-05-17T10:30:00-03:00,246.55,246.59,243.52,245.18
2021-05-18T10:30:00-03:00,246.27,246.41,242.9,243.08
2021-05-19T10:30:00-03:00,239.31,243.23,238.6,243.12
2021-05-20T10:30:00-03:00,243.96,247.95,243.86,246.48
2021-05-21T10:30:00-03:00,247.565,248.33,244.74,245.17
2021-05-24T10:30:00-03:00,247.785,251.16,247.51,250.78
2021-05-25T10:30:00-03:00,251.769,252.75,250.82,251.72
2021-05-26T10:30:00-03:00,251.43,252.94,250.75,251.49
2021-05-27T10:30:00-03:00,251.17,251.48,249.25,249.31
2021-05-28T10:30:00-03:00,250.995,252.08,249.56,249.68
2021-06-01T10:30:00-03:00,251.23,251.29,246.96,247.4
